City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Husavik,IS,2021-11-18 01:02:45,66.0449,-17.3389,20.79,73,94,13.67
68,Takoradi,GH,2021-11-18 00:53:02,4.8845,-1.7554,78.69,86,7,6.85
69,Avera,US,2021-11-18 01:02:45,33.194,-82.5271,64.53,70,0,6.31
70,Jamame,SO,2021-11-18 01:02:46,0.0722,42.7506,76.98,84,100,5.95
71,Carnarvon,AU,2021-11-18 00:54:12,-24.8667,113.6333,71.67,60,40,12.66
72,Bengkulu,ID,2021-11-18 01:02:46,-3.8004,102.2655,78.66,81,100,3.31
73,Trinidad,BO,2021-11-18 01:02:46,-14.8333,-64.9,64.63,92,100,7.27
74,Keti Bandar,PK,2021-11-18 01:02:46,24.1447,67.4497,70.54,24,0,13.04
75,Chuy,UY,2021-11-18 01:00:21,-33.6971,-53.4616,51.87,73,0,4.76
76,Goya,AR,2021-11-18 01:00:54,-29.14,-59.2626,61.88,53,1,6.02
77,Tessalit,ML,2021-11-18 01:02:47,20.1986,1.0114,69.26,13,100,6.33
78,Busselton,AU,2021-11-18 01:02:31,-33.65,115.3333,62.04,78,98,14.97
79,Punta Arenas,CL,2021-11-18 01:00:38,-53.15,-70.9167,44.11,48,33,20.27
80,Rocha,UY,2021-11-18 00:53:03,-34.4833,-54.3333,46.8,84,0,2.33
81,Severo-Kurilsk,RU,2021-11-18 01:02:47,50.6789,156.125,33.89,62,77,12.03
82,Pevek,RU,2021-11-18 00:56:33,69.7008,170.3133,13.39,72,43,15.9
83,Caravelas,BR,2021-11-18 00:56:37,-17.7125,-39.2481,72.84,92,100,4.27
84,Farah,AF,2021-11-18 01:02:48,32.5,62.5,37.04,53,0,4.12
85,Muros,ES,2021-11-18 00:59:07,42.7762,-9.0603,56.08,61,46,14.09
86,Padrauna,IN,2021-11-18 01:02:48,26.9025,83.9819,62.65,67,100,3.91
87,Belokurikha,RU,2021-11-18 01:02:48,51.9959,84.9896,22.28,77,80,23.31
88,Shimoda,JP,2021-11-18 00:55:24,34.6667,138.95,62.96,61,100,3.2
89,East London,ZA,2021-11-18 01:00:33,-33.0153,27.9116,63.99,80,53,27.51
90,Alice Springs,AU,2021-11-18 00:59:40,-23.7,133.8833,85.55,13,0,6.91
91,Bluff,NZ,2021-11-18 01:02:48,-46.6,168.3333,56.12,62,10,18.01
92,Moose Factory,CA,2021-11-18 00:55:30,51.2585,-80.6094,28.4,93,90,10.36
93,Inuvik,CA,2021-11-18 00:57:53,68.3499,-133.7218,4.21,85,90,10.36
94,Kodinsk,RU,2021-11-18 01:02:49,58.6881,99.1844,0.91,92,100,3.69
95,Banda Aceh,ID,2021-11-18 00:56:40,5.5577,95.3222,79.14,77,100,5.73
96,Ancud,CL,2021-11-18 00:54:15,-41.8697,-73.8203,53.13,82,46,7.83
97,Labuhan,ID,2021-11-18 01:03:49,-6.8844,112.2051,80.89,77,100,4.27
98,Hofn,IS,2021-11-18 01:03:50,64.2539,-15.2082,30.87,89,100,13.98
99,Cooma,AU,2021-11-18 00:57:52,-36.2333,149.1333,65.97,36,100,14.97
100,Lagoa,PT,2021-11-18 00:54:18,39.05,-27.9833,65.75,81,94,15.5
101,Toba,JP,2021-11-18 01:03:50,34.4833,136.85,55.4,61,15,3.98
102,Kirakira,SB,2021-11-18 01:03:50,-10.4544,161.9205,84.34,75,37,4.12
103,Ponta Do Sol,PT,2021-11-18 00:56:41,32.6667,-17.1,65.03,77,50,7.52
104,Tokur,RU,2021-11-18 01:03:50,53.1333,132.9,9.19,80,100,3.33
105,Bartica,GY,2021-11-18 01:03:51,6.4,-58.6167,75.52,98,100,1.88
106,Saint-Philippe,RE,2021-11-18 01:03:51,-21.3585,55.7679,74.75,75,5,9.53
107,Hermanus,ZA,2021-11-18 01:03:51,-34.4187,19.2345,57.9,65,80,8.41
108,Bambous Virieux,MU,2021-11-18 01:02:28,-20.3428,57.7575,75.22,73,4,14.09
109,Pyapon,MM,2021-11-18 01:03:52,16.2833,95.6833,77.34,88,95,7.61
110,Mahebourg,MU,2021-11-18 00:55:06,-20.4081,57.7,77.29,73,40,12.66
111,Sitka,US,2021-11-18 00:58:58,57.0531,-135.33,40.48,89,100,10.63
112,Evensk,RU,2021-11-18 01:03:52,61.95,159.2333,24.51,82,100,18.99
113,Sola,VU,2021-11-18 01:01:19,-13.8833,167.55,81.59,74,34,11.63
114,Katherine,AU,2021-11-18 01:03:52,-14.4667,132.2667,91.72,38,100,4.61
115,Saldanha,ZA,2021-11-18 00:55:26,-33.0117,17.9442,55.45,65,0,24.16
116,Ixtapa,MX,2021-11-18 00:57:32,20.7,-105.2,72.91,89,19,0.92
117,Adrar,MR,2021-11-18 00:59:01,20.5022,-10.0711,77.81,26,100,4.65
118,Poya,NC,2021-11-18 01:03:53,-21.35,165.15,81.1,66,64,12.19
119,Bubaque,GW,2021-11-18 01:03:53,11.2833,-15.8333,82.35,70,89,9.55
120,Mar Del Plata,AR,2021-11-18 01:00:29,-38.0023,-57.5575,58.87,65,20,15.01
